ISO3,Country/Region,unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,Argentina,MtCO2e,301.3,306.21,307.07,310.8,313.62,325.29,330.89,336.22,343.72,343.07,385.45,381.84,404.05,420.08,423.62,438.16,450.42,455.03,434.45,440.02,420.98,426.06,435.95,433.56,440.49,407.88,412.22,410.34,406.66,394.76
NGA,Nigeria,MtCO2e,298.81,314.51,311.82,307.11,311.07,339.18,331.75,314.12,301.4,313.38,310.22,292.48,313.69,315.85,320.84,308.87,298.43,302.96,290.27,317.84,327.14,330.24,342.58,352.27,345.84,353.59,357.48,366.96,378.56,369.38
MYS,Malaysia,MtCO2e,199.14,201.87,208.46,216.34,223.49,233.14,244.45,273.83,251.47,262.89,253.83,269.73,279.28,304.38,317.95,313.55,338.04,349.45,345.44,357.74,133.34,135.13,155.61,188.05,173.69,359.35,344.25,367.03,374.09,367.76
ITA,Italy,MtCO2e,446.29,443.29,437.33,432.43,457.83,454.39,458.26,469.67,477.2,482.62,481.01,490.3,509.1,520.78,522.1,510.16,503.32,488.28,439.28,447.87,437.33,419.16,387.19,367.54,379.14,396.47,391.2,386.15,377.08,339.21
POL,Poland,MtCO2e,423.19,412.94,413.49,408.34,408.08,422.66,412.21,383.34,372.65,358.97,298.44,291.95,303.38,307.46,308.87,323.23,323.76,317.55,302.74,321.18,361.8,354.82,349.03,335.81,338.97,343.96,357.31,355.52,337.91,320.92
FRA,France,MtCO2e,496.98,482.42,463.46,457.73,466.4,486.13,476.79,492.82,483.63,482.03,445.8,438.84,443.99,442.18,443.48,433.64,426.95,420.92,403.06,407,396.23,399.86,400.78,367.33,372.72,372.24,375.56,360.98,351.6,314.57
EGY,Egypt,MtCO2e,143.25,145.76,151.33,147.59,157.1,164.48,173.13,178.87,188.33,187.49,200.62,205.97,211.11,224.05,244.48,255.44,270.41,279.65,286.8,289.21,297.61,308.13,305.27,310.97,317.13,327.64,337.92,331.54,307.64,299.96
KAZ,Kazakhstan,MtCO2e,306.51,309.05,272.6,250.79,222.29,197.46,175.03,175.57,161.66,161.44,160.57,188.69,199.95,218.27,232.79,252.63,265.22,312.82,285.23,305.57,312.35,310.46,325.46,276.36,257.16,273.35,296.63,296.72,283.98,291.82
COL,Colombia,MtCO2e,218.85,222,226.97,229.44,233.64,233.69,239.78,241.85,230.34,234.49,223.82,221.87,223.64,225.57,226.14,226.95,232.41,233.7,237.25,242.52,222.49,220.57,228.88,232.56,231.77,262.11,257.52,266.74,269.55,270.31
DZA,Algeria,MtCO2e,126.56,127.21,135.62,137.87,144.32,147.82,147.08,148.96,153.25,162.77,156.77,163.22,176.59,180.39,187.74,195.39,198.76,203.82,205.68,208.56,215.86,234.41,239,251.73,261.12,263.19,266.11,274.38,279.43,267.01
IRQ,Iraq,MtCO2e,59.41,84.06,110.85,126.28,124.37,122.72,152.07,136.01,122.64,139.45,149.45,138.51,118.29,134.57,130.56,130.18,125.37,141.38,151.47,167.46,177.52,201.99,214.7,213.23,220.46,240.34,255.61,268.86,286.46,261.79
ESP,Spain,MtCO2e,239.03,248.88,234.07,246.98,260.7,254.09,275.54,284.99,309.58,326.9,348.6,365.3,374.3,390.41,405.06,399.06,415.34,382.03,345.93,331,341.95,335.52,309.12,307.85,318.39,302.82,319.43,312.92,295.49,256.41
ARE,United Arab Emirates,MtCO2e,87.04,85.01,89.21,97.92,102.9,107.32,110.65,112.8,114.11,114.7,128.62,130.41,138.69,146.81,156.12,163.49,174.31,200.15,199.98,207.64,215.07,226.42,238.37,240.98,253.03,260.39,251.24,234.35,248.67,249.93
MMR,Myanmar,MtCO2e,204.85,207.58,210.26,212.89,216.03,211.71,209.38,215.7,220.83,217.72,197.95,196.69,209.55,224.13,214.12,218.45,229.26,214.63,225.77,231.22,200.48,209.55,211.68,219.88,226.38,218.75,233.22,236.7,238.65,246.64
VEN,Venezuela,MtCO2e,452.08,454.21,461.67,466.51,492.99,520.94,540.55,541.78,518.95,535.48,483.18,465.94,450.92,474.38,494.65,492.85,488.33,504.37,492.87,496.84,514.4,549.73,552.48,547.72,523.98,430.86,394.21,352.99,301.85,237.63
PHL,Philippines,MtCO2e,97.66,99.72,105.17,112.3,124.12,132.63,140.75,134.19,139.78,141.03,140.13,141.92,145.05,148.53,149.62,143.16,149.34,152.41,155.3,160.85,162.54,167.62,178.57,186.22,195.1,206.68,223.81,230.34,237.84,227.52
UKR,Ukraine,MtCO2e,744.03,654.89,571.43,481.77,458.38,397.59,373.75,345.88,339.11,328.12,353.63,358.18,382.92,356.73,343.66,350.99,360.1,349.01,294.12,313.69,339.86,332.64,328.07,293.99,244.69,258.4,232.34,243.94,233.09,224.44
