ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11,Africa,,AFRTMP,Carbon stocks in forests,Million tonnes,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,55811.7552,57006.7484,56766.9408,56527.1333,56287.3259,56047.5177,55807.7105,55567.9025,55328.0951,55079.0878,54830.0808,54581.0739,54332.0665,54083.0598,53834.0528,53585.0458,53336.0385,53087.0315,52838.0245,52532.0036,52890.579,52578.6891,52266.7998,51954.91,51666.6077,51265.4387,50960.3994,50654.3608,50343.8299
12,Africa,,AFRTMP,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,685614.0711,702769.4832,699668.6553,696567.8275,693466.9996,690366.1717,687265.3438,684164.5159,681063.688,677834.8392,674605.9904,671377.1416,668148.2928,664919.444,661690.5952,658461.7464,655232.8976,652004.0488,648775.2,645042.838,668200.15,664293.54,660386.93,656480.32,652479.3843,648546.99,644616.828,640606.55,636636.97
13,Africa,,AFRTMP,Index of carbon stocks in forests,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,102.1411138,101.7114416,101.2817696,100.8520977,100.4224245,99.99275296,99.56308004,99.13340819,98.68725254,98.24109742,97.79494249,97.34878666,96.90263208,96.45647697,96.01032185,95.5641662,95.11801109,94.67185597,94.12354693,94.76601983,94.20719508,93.64837141,93.08954684,92.57298488,91.85419544,91.30764517,90.75930441,90.20291464
14,Africa,,AFRTMP,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,102.5021966,102.0499265,101.5976563,101.1453861,100.693116,100.2408458,99.78857563,99.33630547,98.86536286,98.39442025,97.92347764,97.45253503,96.98159242,96.51064981,96.0397072,95.56876459,95.09782198,94.62687937,94.08249702,97.46009864,96.89030141,96.32050418,95.75070695,95.16715187,94.59359388,94.02036148,93.43544379,92.85646209
15,Africa,,AFRTMP,Land area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,2617083.5,2727183.5,2727183.5,2727183.5,2727183.5,2727183.5,2727183.5,2727183.5,2727183.5,2727183.5,2727183.5,2727183.5,2742041.492,2742046.009,2742045.225,2742049.867,2742046.089,2742049.328,2742118.106,2742146.405,2992139.414,2992136.633,2992131.947,2992137.413,2992138.197,2992137.005,2992138.514,2992139.74,2992135.109
16,Africa,,AFRTMP,Share of forest area,Percent,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,26.19763837,25.76905746,25.65535672,25.54165598,25.42795524,25.31425449,25.20055375,25.08685301,24.97315226,24.85475727,24.73636227,24.61796728,24.3668192,24.24902579,24.13127942,24.01348547,23.89576529,23.77798394,23.65963737,23.52328223,22.33185215,22.20131035,22.07078236,21.94017952,21.80645884,21.67504325,21.54368272,21.40964679,21.27701279
17,Albania,AL,ALB,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,784.9,782.95,781,779.05,777.1,775.15,773.2,771.25,769.3,770.577,771.854,773.131,774.408,775.685,776.962,778.239,779.516,780.793,782.07,783.4935,784.917,786.3405,787.764,789.1875,789.18,788.9025,788.9,788.9,788.9
18,Albania,AL,ALB,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,99.75156071,99.50312142,99.25468213,99.00624283,98.75780354,98.50936425,98.26092496,98.01248567,98.17518155,98.33787744,98.50057332,98.66326921,98.82596509,98.98866098,99.15135686,99.31405275,99.47674863,99.63944452,99.8208052,100.0021659,100.1835266,100.3648872,100.5462479,100.5452924,100.5099376,100.5096191,100.5096191,100.5096191
19,Albania,AL,ALB,Land area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
20,Albania,AL,ALB,Share of forest area,Percent,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,28.6459854,28.57481752,28.50364964,28.43248175,28.36131387,28.29014599,28.2189781,28.14781022,28.07664234,28.12324818,28.16985401,28.21645985,28.26306569,28.30967153,28.35627737,28.40288321,28.44948905,28.49609489,28.54270073,28.59465328,28.64660584,28.69855839,28.75051095,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708
